service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66201,1,1,1,1,1,0,0,20240130,20240331
66202,1,1,1,1,0,0,0,20240130,20240331
66203,0,1,1,1,1,0,0,20240130,20240331
66204,0,1,1,1,1,0,0,20240130,20240331
66205,0,0,0,0,1,0,0,20240130,20240331
66206,0,0,0,0,0,1,0,20240130,20240331
66207,0,0,0,0,0,1,0,20240130,20240331
66208,0,0,0,0,0,0,1,20240130,20240331
66209,0,0,0,0,0,0,1,20240130,20240331
66210,0,0,1,1,1,1,0,20240130,20240331
66211,0,1,1,1,1,1,0,20240130,20240331
66212,0,1,1,1,1,1,0,20240130,20240331
66213,1,0,0,0,0,0,0,20240130,20240331
66214,1,0,0,0,0,0,0,20240130,20240331
66215,1,0,0,0,0,0,0,20240130,20240331
66216,0,1,0,0,0,0,0,20240130,20240331
66217,0,1,0,0,0,0,0,20240130,20240331
66218,1,0,1,1,1,0,0,20240130,20240331
66219,1,0,1,1,1,0,0,20240130,20240331
66220,0,0,1,0,0,0,0,20240130,20240331
66221,0,0,1,0,0,0,0,20240130,20240331
66222,1,1,0,1,1,0,0,20240130,20240331
66223,1,1,0,1,1,0,0,20240130,20240331
66224,0,0,0,1,0,0,0,20240130,20240331
66225,0,0,0,1,0,0,0,20240130,20240331
66226,1,1,1,0,1,0,0,20240130,20240331
66227,1,1,1,0,1,0,0,20240130,20240331
66228,0,1,1,0,0,0,0,20240130,20240331
66229,0,1,1,0,0,0,0,20240130,20240331
66230,1,0,0,1,1,0,0,20240130,20240331
66231,1,0,0,1,1,0,0,20240130,20240331
66232,1,1,0,0,1,0,0,20240130,20240331
66233,1,1,0,0,1,0,0,20240130,20240331
66234,1,1,1,1,1,0,1,20240130,20240331
66235,1,1,1,1,1,0,1,20240130,20240331
66236,1,1,1,1,1,1,0,20240130,20240331
66237,1,1,1,1,1,1,0,20240130,20240331
66238,1,1,1,1,1,1,0,20240130,20240331
66239,1,1,1,1,1,0,0,20240130,20240331
66240,1,1,1,1,0,0,1,20240130,20240331
66241,0,1,1,0,1,0,0,20240130,20240331
66242,0,1,1,0,1,0,0,20240130,20240331
108101,1,1,1,1,1,0,0,20240130,20240203
108102,1,1,1,1,0,0,0,20240130,20240203
108103,0,1,1,1,1,0,0,20240130,20240203
108104,0,1,1,1,1,0,0,20240130,20240203
108105,0,0,0,0,1,0,0,20240130,20240203
108106,0,0,0,0,0,1,0,20240130,20240203
